Origin_Province,Destination_Province,Tax_Rate,Notes
PE,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
PE,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
QC,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
SK,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NT,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
NU,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,AB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,BC,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,MB,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,NB,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,NL,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,NS,0.14,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,ON,0.13,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,PE,0.15,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,QC,0.14975,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,SK,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,NT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,NU,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
YT,YT,0.05,Destination-based GST/HST/QST rate applies equally to parcels and pallets.
